batch_id,crop_type,variety,origin_region,harvest_datetime,harvest_weight_kg,initial_quality_score,harvest_temperature_c,harvest_conditions,field_precooled
BAT-000001,plums,Stanley,South,2024-08-06 12:15:00,9026.1,89.4,20.7,Optimal Dry,True
BAT-000002,pears,Conference,South,2024-09-03 14:45:00,4709.7,84.7,32.2,Hot / Sun-Exposed,False
BAT-000003,pears,Williams,South,2024-08-19 11:15:00,9029.9,90.2,30.6,Hot / Sun-Exposed,False
BAT-000004,plums,President,South,2024-08-23 06:00:00,6603.8,91.8,20.7,Optimal Dry,False
BAT-000005,apples,Gala,North,2024-10-20 06:00:00,14385.9,89.5,-0.4,Humid,False
BAT-000006,apples,Gala,North,2024-09-25 11:15:00,13806.4,88.3,21.2,Optimal Dry,True
BAT-000007,apples,Granny Smith,North,2024-09-06 07:30:00,5381.6,86.2,18.7,Optimal Dry,True
BAT-000008,table_grapes,Codreanca,Centre,2024-10-03 14:45:00,6253.5,94.7,21.2,Optimal Dry,False
BAT-000009,tomatoes,Cherry,North,2024-07-01 07:45:00,2800.9,89.3,25.8,Optimal Dry,False
BAT-000010,plums,President,Centre,2024-09-02 13:00:00,9217.9,96.3,29.7,Hot / Sun-Exposed,False
BAT-000011,plums,President,North,2024-09-09 09:45:00,9435.5,86.7,20.9,Optimal Dry,True
BAT-000012,pears,Abate Fetel,South,2024-08-25 08:30:00,10836.1,85.3,21.5,Optimal Dry,False
BAT-000013,apples,Gala,North,2024-09-19 11:00:00,9945.3,97.5,17.9,Optimal Dry,False
BAT-000014,pears,Abate Fetel,South,2024-08-18 12:00:00,7264.6,92.2,31.2,Hot / Sun-Exposed,False
BAT-000015,plums,President,Centre,2024-08-14 07:15:00,5570.6,87.8,18.2,Optimal Dry,False
BAT-000016,plums,Kabardinka,Centre,2024-10-09 12:00:00,7452.3,91.0,19.2,Optimal Dry,True
BAT-000017,pears,Abate Fetel,Centre,2024-08-27 11:15:00,5442.4,88.4,25.7,Post-Rain,True
BAT-000018,apples,Granny Smith,North,2024-09-22 10:15:00,13666.1,95.4,17.2,Optimal Dry,False
BAT-000019,table_grapes,Victoria,South,2024-10-06 06:00:00,6570.2,90.5,18.4,Post-Rain,False
BAT-000020,apples,Gala,North,2024-09-17 14:15:00,10242.0,95.9,23.2,Optimal Dry,False
BAT-000021,apples,Granny Smith,North,2024-09-03 10:15:00,12798.5,94.6,25.1,Optimal Dry,True
BAT-000022,plums,Kabardinka,South,2024-10-05 11:00:00,4727.7,89.0,19.9,Humid,False
BAT-000023,table_grapes,Victoria,South,2024-10-23 07:00:00,7918.7,97.5,4.0,Humid,True
