batch_id,quality_status,loss_fraction_pct,quality_score,economic_loss_eur
BAT-000001,severe_degradation,20.45,63.8,1384.38
BAT-000002,lost,46.75,18.0,2091.7
BAT-000003,degraded,14.2,76.4,1218.13
BAT-000004,optimal,2.88,94.9,142.64
BAT-000005,severe_degradation,20.29,65.0,1897.28
BAT-000006,optimal,2.34,96.5,210.0
BAT-000007,degraded,7.09,87.5,248.01
BAT-000008,severe_degradation,17.0,71.3,1328.87
BAT-000009,severe_degradation,19.34,68.3,460.44
BAT-000010,degraded,9.7,83.9,670.6
BAT-000011,lost,70.63,5.0,4998.22
BAT-000012,degraded,7.28,89.6,749.42
BAT-000013,optimal,0.4,98.5,25.86
BAT-000014,degraded,12.45,77.8,859.22
BAT-000015,degraded,11.71,82.7,489.24
BAT-000016,severe_degradation,20.24,65.5,1131.26
BAT-000017,degraded,6.8,87.8,351.58
BAT-000018,severe_degradation,34.6,38.9,3073.51
BAT-000019,optimal,4.7,91.1,386.0
BAT-000020,degraded,11.81,79.6,786.23
BAT-000021,degraded,6.85,88.9,569.85
BAT-000022,severe_degradation,21.89,62.2,776.17
BAT-000023,severe_degradation,17.31,71.4,1713.41
BAT-000024,severe_degradation,17.71,69.0,1107.74
BAT-000025,severe_degradation,16.76,70.3,1560.63
BAT-000026,optimal,4.73,92.6,255.11
BAT-000027,severe_degradation,23.99,57.3,1399.02
BAT-000028,severe_degradation,29.5,49.9,1629.04
BAT-000029,severe_degradation,15.93,72.2,1523.31
BAT-000030,optimal,1.9,95.7,131.63
BAT-000031,degraded,5.99,89.5,560.0
BAT-000032,severe_degradation,27.87,52.7,2292.38
BAT-000033,severe_degradation,25.62,57.5,823.29
BAT-000034,degraded,5.23,90.7,172.2
BAT-000035,optimal,4.14,92.9,182.2
BAT-000036,optimal,2.43,94.8,177.59
BAT-000037,severe_degradation,20.54,63.8,1303.18
BAT-000038,severe_degradation,25.15,56.6,2340.67
BAT-000039,lost,72.5,5.0,3121.22
BAT-000040,degraded,13.75,75.8,508.96
BAT-000041,lost,82.86,5.0,5398.3
BAT-000042,optimal,3.36,93.5,83.15
BAT-000043,degraded,13.11,77.7,553.95
BAT-000044,optimal,3.38,94.2,115.18
BAT-000045,degraded,7.26,88.1,443.64
BAT-000046,severe_degradation,21.73,63.3,1567.85
BAT-000047,lost,81.92,5.0,4166.12
BAT-000048,optimal,2.66,94.6,184.14
BAT-000049,lost,77.14,5.0,2968.62
BAT-000050,optimal,4.92,90.9,220.48
BAT-000051,optimal,3.51,92.0,266.64
BAT-000052,optimal,4.44,93.5,272.66
BAT-000053,optimal,0.69,97.8,48.96
BAT-000054,severe_degradation,15.72,74.1,907.67
BAT-000055,degraded,5.73,90.3,360.25
BAT-000056,severe_degradation,16.7,71.7,966.23
BAT-000057,optimal,4.92,90.6,280.62
BAT-000058,severe_degradation,15.5,74.1,797.07
BAT-000059,optimal,4.52,93.5,394.7
BAT-000060,degraded,5.08,90.6,303.93
BAT-000061,severe_degradation,26.06,53.7,1309.28
BAT-000062,severe_degradation,27.22,53.0,2491.41
BAT-000063,degraded,13.79,75.2,717.59
BAT-000064,optimal,3.72,93.9,395.7
BAT-000065,optimal,2.81,93.9,158.46
BAT-000066,degraded,10.2,81.0,546.56
BAT-000067,severe_degradation,20.8,63.7,1317.4
BAT-000068,optimal,3.12,95.3,161.29
BAT-000069,optimal,3.71,93.9,355.99
BAT-000070,optimal,1.35,95.7,123.95
BAT-000071,lost,48.31,18.2,2362.71
BAT-000072,optimal,1.9,96.2,120.75
BAT-000073,severe_degradation,18.34,67.0,782.11
BAT-000074,degraded,14.92,73.9,584.71
BAT-000075,optimal,2.27,95.0,97.25
BAT-000076,optimal,3.53,92.8,84.58
BAT-000077,degraded,8.29,88.0,419.35
BAT-000078,degraded,12.66,78.5,477.46
BAT-000079,degraded,5.71,89.8,229.01
BAT-000080,optimal,2.28,95.2,206.53
BAT-000081,degraded,10.07,81.9,441.44
BAT-000082,optimal,3.24,95.9,155.74
BAT-000083,severe_degradation,16.58,71.0,445.87
BAT-000084,severe_degradation,20.96,65.0,478.91
BAT-000085,lost,43.85,23.6,2944.94
BAT-000086,degraded,5.52,89.1,131.77
BAT-000087,lost,86.47,5.0,2522.88
BAT-000088,optimal,2.97,95.3,109.72
BAT-000089,degraded,6.55,89.7,221.34
BAT-000090,severe_degradation,18.81,66.7,570.66
BAT-000091,optimal,2.3,94.7,126.01
BAT-000092,severe_degradation,16.82,71.1,748.95
BAT-000093,severe_degradation,17.02,71.9,863.36
BAT-000094,optimal,2.1,97.0,141.93
BAT-000095,optimal,3.6,93.5,292.05
BAT-000096,degraded,5.58,90.0,432.74
BAT-000097,severe_degradation,22.65,60.3,1504.9
BAT-000098,degraded,5.0,89.6,121.19
BAT-000099,severe_degradation,16.0,72.5,862.13
BAT-000100,optimal,1.69,97.0,84.0
BAT-000101,optimal,4.14,92.6,312.47
BAT-000102,optimal,0.99,98.5,76.85
BAT-000103,degraded,5.48,92.3,419.73
BAT-000104,severe_degradation,19.13,67.3,728.42
BAT-000105,optimal,4.52,92.3,130.53
BAT-000106,severe_degradation,16.88,71.2,375.26
BAT-000107,severe_degradation,25.52,54.9,1334.45
BAT-000108,severe_degradation,18.98,66.8,1035.64
BAT-000109,severe_degradation,15.22,72.6,990.43
BAT-000110,severe_degradation,15.67,73.6,652.93
BAT-000111,optimal,4.25,92.1,216.62
BAT-000112,degraded,8.08,86.0,553.7
BAT-000113,degraded,14.34,74.3,842.24
BAT-000114,lost,36.93,36.0,1153.34
BAT-000115,lost,74.0,5.0,7794.86
BAT-000116,degraded,9.14,82.3,394.77
BAT-000117,degraded,13.85,76.0,1134.36
BAT-000118,severe_degradation,15.82,72.7,927.29
BAT-000119,lost,73.78,5.0,2833.14
BAT-000120,severe_degradation,23.83,58.7,1024.91
BAT-000121,degraded,13.88,76.8,1259.99
BAT-000122,optimal,4.03,92.7,219.94
BAT-000123,degraded,10.64,82.1,401.19
BAT-000124,degraded,8.1,84.8,294.69
BAT-000125,severe_degradation,18.8,64.9,766.73
BAT-000126,severe_degradation,24.86,56.1,788.31
BAT-000127,optimal,3.81,92.0,150.9
BAT-000128,optimal,4.58,92.3,243.62
BAT-000129,degraded,6.36,88.6,250.93
BAT-000130,degraded,7.07,88.0,427.4
BAT-000131,severe_degradation,20.9,63.7,1015.58
BAT-000132,degraded,7.78,85.4,355.53
