check_id,batch_id,check_datetime,stage,firmness_kg_cm2,sugar_brix,defect_pct
CHK-000001,BAT-000001,2024-08-06 13:15:00,harvest,7.32,13.3,3.4
CHK-000002,BAT-000001,2024-09-11 13:50:24,pre_dispatch,7.57,15.6,1.3
CHK-000003,BAT-000001,2024-09-12 22:09:24,arrival,6.53,16.2,17.1
CHK-000004,BAT-000002,2024-09-03 15:45:00,harvest,7.11,11.7,0.9
CHK-000005,BAT-000002,2024-11-26 16:53:24,pre_dispatch,7.1,14.9,3.1
CHK-000006,BAT-000002,2024-11-28 10:42:00,arrival,5.58,12.2,10.7
CHK-000007,BAT-000003,2024-08-19 12:15:00,harvest,7.4,12.1,1.8
CHK-000008,BAT-000003,2024-11-29 12:30:00,pre_dispatch,6.83,15.0,4.5
CHK-000009,BAT-000003,2024-12-01 00:15:00,arrival,5.52,12.5,17.5
CHK-000010,BAT-000004,2024-08-23 07:00:00,harvest,7.06,11.3,3.1
CHK-000011,BAT-000004,2024-09-11 07:41:24,pre_dispatch,6.83,15.2,4.6
CHK-000012,BAT-000004,2024-09-11 19:20:00,arrival,5.66,12.0,6.1
CHK-000013,BAT-000005,2024-10-20 07:00:00,harvest,7.88,12.3,0.8
CHK-000014,BAT-000005,2025-02-22 09:53:24,pre_dispatch,5.29,14.3,4.0
CHK-000015,BAT-000005,2025-02-22 21:33:48,arrival,6.14,11.7,14.4
CHK-000016,BAT-000006,2024-09-25 12:15:00,harvest,8.05,12.1,1.3
CHK-000017,BAT-000006,2025-01-25 14:33:36,pre_dispatch,5.57,16.9,8.3
CHK-000018,BAT-000006,2025-01-25 22:58:36,arrival,6.24,14.8,7.6
CHK-000019,BAT-000007,2024-09-06 08:30:00,harvest,8.4,16.1,1.8
CHK-000020,BAT-000007,2025-01-04 08:33:00,pre_dispatch,6.94,11.6,8.1
CHK-000021,BAT-000007,2025-01-04 17:14:48,arrival,7.09,16.5,8.6
CHK-000022,BAT-000008,2024-10-03 15:45:00,harvest,7.46,12.1,3.9
CHK-000023,BAT-000008,2024-12-07 18:38:24,pre_dispatch,6.04,15.5,8.2
CHK-000024,BAT-000008,2024-12-08 13:18:24,arrival,4.3,15.7,2.8
CHK-000025,BAT-000009,2024-07-01 08:45:00,harvest,7.48,13.1,1.9
CHK-000026,BAT-000009,2024-07-14 10:22:12,pre_dispatch,7.68,16.5,5.5
CHK-000027,BAT-000009,2024-07-15 06:25:48,arrival,4.73,14.3,9.0
CHK-000028,BAT-000010,2024-09-02 14:00:00,harvest,6.77,14.1,1.3
CHK-000029,BAT-000010,2024-09-29 16:22:48,pre_dispatch,7.03,16.5,1.2
CHK-000030,BAT-000010,2024-09-30 10:17:24,arrival,5.67,12.8,16.9
CHK-000031,BAT-000011,2024-09-09 10:45:00,harvest,8.41,14.7,0.8
CHK-000032,BAT-000011,2024-09-26 11:50:24,pre_dispatch,6.42,13.8,2.9
CHK-000033,BAT-000011,2024-09-26 19:51:36,arrival,5.74,13.6,16.1
CHK-000034,BAT-000012,2024-08-25 09:30:00,harvest,7.16,15.0,1.5
CHK-000035,BAT-000012,2024-12-07 12:32:24,pre_dispatch,6.31,11.9,6.0
CHK-000036,BAT-000012,2024-12-08 07:58:48,arrival,4.77,16.7,8.2
CHK-000037,BAT-000013,2024-09-19 12:00:00,harvest,6.86,13.0,1.6
CHK-000038,BAT-000013,2025-01-16 15:36:36,pre_dispatch,6.43,11.9,5.2
CHK-000039,BAT-000013,2025-01-17 12:18:12,arrival,5.8,14.5,17.7
CHK-000040,BAT-000014,2024-08-18 13:00:00,harvest,8.19,15.2,0.6
CHK-000041,BAT-000014,2024-10-12 16:24:36,pre_dispatch,6.37,13.5,3.4
CHK-000042,BAT-000014,2024-10-14 11:41:24,arrival,4.56,16.4,9.8
CHK-000043,BAT-000015,2024-08-14 08:15:00,harvest,7.37,12.2,3.4
CHK-000044,BAT-000015,2024-09-06 11:30:00,pre_dispatch,5.42,15.2,5.1
CHK-000045,BAT-000015,2024-09-08 00:25:12,arrival,6.83,15.2,16.0
CHK-000046,BAT-000016,2024-10-09 13:00:00,harvest,7.8,13.9,0.7
CHK-000047,BAT-000016,2024-11-11 15:10:48,pre_dispatch,7.73,15.1,8.1
CHK-000048,BAT-000016,2024-11-13 09:12:36,arrival,5.29,14.3,15.0
CHK-000049,BAT-000017,2024-08-27 12:15:00,harvest,8.31,16.2,3.0
CHK-000050,BAT-000017,2024-11-01 15:05:24,pre_dispatch,5.39,15.9,7.6
CHK-000051,BAT-000017,2024-11-03 09:18:48,arrival,4.33,12.5,13.6
CHK-000052,BAT-000018,2024-09-22 11:15:00,harvest,7.41,14.6,3.0
CHK-000053,BAT-000018,2024-12-17 14:04:12,pre_dispatch,6.12,16.8,3.3
CHK-000054,BAT-000018,2024-12-18 12:09:24,arrival,4.46,16.6,13.8
CHK-000055,BAT-000019,2024-10-06 07:00:00,harvest,7.25,15.9,0.5
CHK-000056,BAT-000019,2024-11-08 07:37:12,pre_dispatch,5.83,16.2,6.2
CHK-000057,BAT-000019,2024-11-08 17:50:48,arrival,5.29,13.3,6.9
CHK-000058,BAT-000020,2024-09-17 15:15:00,harvest,8.38,13.0,3.3
CHK-000059,BAT-000020,2025-02-11 17:00:00,pre_dispatch,6.77,16.6,2.0
CHK-000060,BAT-000020,2025-02-12 04:57:00,arrival,6.02,16.0,13.0
CHK-000061,BAT-000021,2024-09-03 11:15:00,harvest,7.93,16.0,2.8
CHK-000062,BAT-000021,2024-12-17 14:26:24,pre_dispatch,6.98,14.1,3.7
CHK-000063,BAT-000021,2024-12-19 01:37:00,arrival,5.91,12.4,15.4
CHK-000064,BAT-000022,2024-10-05 12:00:00,harvest,8.22,14.0,2.6
CHK-000065,BAT-000022,2024-10-28 13:52:48,pre_dispatch,5.55,16.7,8.1
CHK-000066,BAT-000022,2024-10-29 09:34:12,arrival,5.73,13.3,7.3
CHK-000067,BAT-000023,2024-10-23 08:00:00,harvest,6.87,11.7,1.5
CHK-000068,BAT-000023,2024-12-18 08:43:48,pre_dispatch,6.21,14.5,6.5
CHK-000069,BAT-000023,2024-12-19 01:48:36,arrival,5.05,12.9,15.2
CHK-000070,BAT-000024,2024-05-20 13:45:00,harvest,6.92,14.0,2.3
CHK-000071,BAT-000024,2024-05-28 14:21:36,pre_dispatch,7.3,13.5,4.8
CHK-000072,BAT-000024,2024-05-29 22:57:36,arrival,4.97,17.1,8.7
CHK-000073,BAT-000025,2024-10-20 15:30:00,harvest,7.66,13.6,0.7
CHK-000074,BAT-000025,2025-02-23 17:52:48,pre_dispatch,7.52,14.6,5.9
CHK-000075,BAT-000025,2025-02-24 07:00:48,arrival,4.74,15.6,2.0
CHK-000076,BAT-000026,2024-09-08 15:45:00,harvest,8.24,15.8,1.8
CHK-000077,BAT-000026,2024-09-18 16:09:00,pre_dispatch,5.02,13.9,1.8
