shipment_id,batch_id,destination_market,destination_region,vehicle_type,planned_departure_datetime,planned_arrival_datetime,planned_duration_hours,actual_departure_datetime,actual_arrival_datetime,actual_delay_minutes,cold_chain_incident,transit_temp_mean_c
SHP-000001,BAT-000001,Warsaw,Central Europe,Reefer Truck,2024-09-11 17:20:24,2024-09-12 21:20:24,28.0,2024-09-11 18:09:24,2024-09-12 22:09:24,49,False,3.4
SHP-000002,BAT-000002,Berlin,Western Europe,Reefer Truck,2024-11-26 20:42:00,2024-11-28 10:42:00,38.0,2024-11-26 20:42:00,2024-11-28 10:42:00,0,True,20.4
SHP-000003,BAT-000003,Prague,Central Europe,Reefer Truck,2024-11-29 16:15:00,2024-12-01 00:15:00,32.0,2024-11-29 16:15:00,2024-12-01 00:15:00,0,False,4.0
SHP-000004,BAT-000004,Iași,Romania,Insulated Van,2024-09-11 10:54:00,2024-09-11 18:54:00,8.0,2024-09-11 11:20:00,2024-09-11 19:20:00,26,False,4.5
SHP-000005,BAT-000005,Iași,Romania,Insulated Van,2025-02-22 13:22:48,2025-02-22 21:22:48,8.0,2025-02-22 13:33:48,2025-02-22 21:33:48,11,False,2.5
SHP-000006,BAT-000006,Chișinău Local,Domestic,Insulated Van,2025-01-25 18:30:36,2025-01-25 22:30:36,4.0,2025-01-25 18:58:36,2025-01-25 22:58:36,28,False,2.5
SHP-000007,BAT-000007,Chișinău Local,Domestic,Insulated Van,2025-01-04 12:52:48,2025-01-04 16:52:48,4.0,2025-01-04 13:14:48,2025-01-04 17:14:48,22,False,3.5
SHP-000008,BAT-000008,Bucharest,Romania,Reefer Truck,2024-12-07 22:50:24,2024-12-08 12:50:24,14.0,2024-12-07 23:18:24,2024-12-08 13:18:24,28,False,3.0
SHP-000009,BAT-000009,Brașov,Romania,Insulated Van,2024-07-14 14:25:48,2024-07-15 06:25:48,16.0,2024-07-14 14:25:48,2024-07-15 06:25:48,0,False,3.2
SHP-000010,BAT-000010,Bucharest,Romania,Reefer Truck,2024-09-29 20:17:24,2024-09-30 10:17:24,14.0,2024-09-29 20:17:24,2024-09-30 10:17:24,0,False,3.5
SHP-000011,BAT-000011,Chișinău Local,Domestic,Insulated Van,2024-09-26 15:51:36,2024-09-26 19:51:36,4.0,2024-09-26 15:51:36,2024-09-26 19:51:36,0,True,24.0
SHP-000012,BAT-000012,Brașov,Romania,Reefer Truck,2024-12-07 15:58:48,2024-12-08 07:58:48,16.0,2024-12-07 15:58:48,2024-12-08 07:58:48,0,False,3.0
SHP-000013,BAT-000013,Brașov,Romania,Reefer Truck,2025-01-16 20:16:12,2025-01-17 12:16:12,16.0,2025-01-16 20:18:12,2025-01-17 12:18:12,2,False,4.1
SHP-000014,BAT-000014,Berlin,Western Europe,Reefer Truck,2024-10-12 21:17:24,2024-10-14 11:17:24,38.0,2024-10-12 21:41:24,2024-10-14 11:41:24,24,False,3.4
SHP-000015,BAT-000015,Prague,Central Europe,Reefer Truck,2024-09-06 16:22:12,2024-09-08 00:22:12,32.0,2024-09-06 16:25:12,2024-09-08 00:25:12,3,False,4.0
SHP-000016,BAT-000016,Berlin,Western Europe,Reefer Truck,2024-11-11 19:12:36,2024-11-13 09:12:36,38.0,2024-11-11 19:12:36,2024-11-13 09:12:36,0,False,2.5
SHP-000017,BAT-000017,Berlin,Western Europe,Reefer Truck,2024-11-01 18:19:48,2024-11-03 08:19:48,38.0,2024-11-01 19:18:48,2024-11-03 09:18:48,59,False,4.0
SHP-000018,BAT-000018,Bucharest,Romania,Reefer Truck,2024-12-17 18:14:24,2024-12-18 08:14:24,14.0,2024-12-17 20:14:24,2024-12-18 12:09:24,235,True,14.2
SHP-000019,BAT-000019,Chișinău Local,Domestic,Insulated Van,2024-11-08 12:16:48,2024-11-08 16:16:48,4.0,2024-11-08 13:50:48,2024-11-08 17:50:48,94,False,4.5
SHP-000020,BAT-000020,Iași,Romania,Insulated Van,2025-02-11 20:57:00,2025-02-12 04:57:00,8.0,2025-02-11 20:57:00,2025-02-12 04:57:00,0,False,4.4
SHP-000021,BAT-000021,Prague,Central Europe,Reefer Truck,2024-12-17 17:33:00,2024-12-19 01:33:00,32.0,2024-12-17 17:37:00,2024-12-19 01:37:00,4,False,3.3
SHP-000022,BAT-000022,Brașov,Romania,Reefer Truck,2024-10-28 17:19:12,2024-10-29 09:19:12,16.0,2024-10-28 17:34:12,2024-10-29 09:34:12,15,False,3.1
SHP-000023,BAT-000023,Bucharest,Romania,Reefer Truck,2024-12-18 11:48:36,2024-12-19 01:48:36,14.0,2024-12-18 11:48:36,2024-12-19 01:48:36,0,False,3.6
SHP-000024,BAT-000024,Warsaw,Central Europe,Reefer Truck,2024-05-28 18:57:36,2024-05-29 22:57:36,28.0,2024-05-28 18:57:36,2024-05-29 22:57:36,0,False,4.2
SHP-000025,BAT-000025,Iași,Romania,Insulated Van,2025-02-23 22:46:48,2025-02-24 06:46:48,8.0,2025-02-23 23:00:48,2025-02-24 07:00:48,14,False,2.7
SHP-000026,BAT-000026,Warsaw,Central Europe,Reefer Truck,2024-09-18 19:27:36,2024-09-19 23:27:36,28.0,2024-09-18 19:38:36,2024-09-19 23:38:36,11,False,3.9
SHP-000027,BAT-000027,Bucharest,Romania,Reefer Truck,2024-10-28 16:43:48,2024-10-29 06:43:48,14.0,2024-10-28 17:03:48,2024-10-29 07:03:48,20,False,4.1
SHP-000028,BAT-000028,Bălți Wholesale,Domestic,Reefer Truck,2024-06-05 20:52:12,2024-06-06 01:52:12,5.0,2024-06-05 22:21:12,2024-06-06 03:21:12,89,False,3.8
SHP-000029,BAT-000029,Warsaw,Central Europe,Reefer Truck,2024-12-31 14:16:48,2025-01-01 18:16:48,28.0,2024-12-31 14:16:48,2025-01-01 18:16:48,0,False,4.2
SHP-000030,BAT-000030,Brașov,Romania,Reefer Truck,2025-01-23 18:03:00,2025-01-24 10:03:00,16.0,2025-01-23 19:31:00,2025-01-24 11:31:00,88,False,3.5
SHP-000031,BAT-000031,Bucharest,Romania,Reefer Truck,2024-12-06 21:52:12,2024-12-07 11:52:12,14.0,2024-12-06 22:45:12,2024-12-07 12:45:12,53,False,3.9
SHP-000032,BAT-000032,Bălți Wholesale,Domestic,Ambient Truck,2024-11-14 12:37:12,2024-11-14 17:37:12,5.0,2024-11-14 14:04:12,2024-11-14 19:04:12,87,False,18.0
SHP-000033,BAT-000033,Brașov,Romania,Reefer Truck,2025-01-02 13:14:24,2025-01-03 05:14:24,16.0,2025-01-02 13:34:24,2025-01-03 05:34:24,20,True,17.2
